iter	Passed	Remaining
0	1	1065
1	1	973
2	3	1020
3	3	953
4	4	915
5	5	883
6	6	858
7	6	841
8	7	823
9	8	813
10	8	805
11	9	799
12	10	792
13	11	784
14	11	778
15	12	769
16	13	767
17	14	767
18	15	778
19	15	779
20	16	786
21	17	781
22	18	780
23	19	777
24	19	773
25	20	769
26	21	766
27	22	764
28	22	761
29	23	758
30	24	753
31	24	749
32	25	747
33	26	754
34	27	754
35	28	755
36	28	752
37	29	751
38	30	748
39	31	746
40	31	743
41	32	741
42	33	740
43	34	739
44	34	736
45	35	735
46	36	736
47	37	738
48	38	748
49	39	750
50	40	749
51	40	746
52	41	744
53	42	741
54	42	738
55	43	736
56	44	734
57	45	734
58	45	733
59	46	731
60	47	729
61	48	729
62	49	731
63	50	732
64	50	731
65	51	732
66	52	732
67	53	731
68	54	733
69	55	734
70	56	737
71	57	737
72	57	736
73	58	735
74	59	736
75	61	749
76	62	748
77	63	746
78	63	744
79	64	742
80	65	740
81	65	738
82	66	732
83	67	731
84	67	730
85	68	728
86	69	727
87	69	725
88	70	723
89	71	722
90	72	725
91	73	727
92	74	729
93	75	728
94	76	727
95	77	725
96	77	724
97	78	723
98	79	722
99	80	720
100	80	720
101	81	719
102	82	719
103	83	721
104	84	722
105	85	721
106	86	719
107	86	717
108	87	715
109	88	713
110	88	711
111	89	709
112	90	707
113	90	705
114	91	703
115	92	701
116	92	698
117	93	696
118	93	694
119	94	693
120	95	694
121	96	692
122	96	690
123	97	689
124	98	687
125	98	685
126	99	682
127	99	680
128	100	679
129	101	677
130	101	675
131	102	673
132	103	672
133	103	670
134	104	668
135	104	666
136	105	665
137	106	664
138	108	672
139	109	671
140	110	670
141	110	667
142	111	665
143	111	664
144	112	663
145	113	662
146	113	660
147	114	659
148	115	658
149	116	657
150	116	656
151	117	655
152	118	654
153	119	655
154	120	656
155	121	656
156	122	655
157	122	654
158	123	654
159	125	657
160	125	655
161	126	654
162	127	652
163	127	651
164	128	649
165	129	649
166	130	649
167	130	648
168	131	647
169	132	646
170	133	646
171	134	645
172	134	644
173	136	646
174	137	646
175	138	646
176	138	645
177	139	644
178	140	642
179	140	641
180	141	641
181	142	640
182	143	639
183	143	637
184	144	636
185	145	634
186	145	633
187	146	631
188	146	630
189	147	628
190	148	627
191	148	625
192	149	624
193	150	623
194	150	622
195	151	620
196	151	619
197	152	618
198	153	618
199	154	617
200	155	616
201	155	615
202	156	613
203	156	612
204	157	611
205	158	609
206	158	608
207	159	607
208	160	605
209	160	604
210	161	603
211	162	602
212	162	600
213	163	599
214	163	598
215	164	597
216	165	597
217	166	596
218	167	595
219	167	594
220	168	593
221	168	591
222	169	590
223	170	589
224	170	588
225	171	587
226	172	585
227	172	584
228	173	583
229	174	582
230	174	581
231	175	580
232	176	579
233	176	578
234	177	578
235	178	577
236	179	576
237	179	575
238	180	574
239	181	573
240	181	572
241	182	571
242	182	569
243	183	569
244	184	567
245	184	566
246	185	565
247	186	564
248	186	563
249	187	562
250	188	561
251	189	561
252	190	561
253	190	560
254	191	558
255	191	557
256	192	556
257	193	555
258	193	554
259	194	553
260	195	552
261	195	551
262	196	550
263	197	549
264	197	548
265	198	547
266	198	546
267	199	545
268	200	544
269	201	544
270	202	544
271	203	544
272	204	543
273	204	542
274	205	541
275	206	540
276	206	539
277	207	538
278	208	538
279	208	537
280	209	536
281	210	535
282	210	534
283	211	533
284	212	533
285	213	532
286	213	531
287	214	530
288	215	529
289	216	528
290	216	528
291	217	527
292	218	526
293	218	525
294	219	524
295	220	523
296	220	522
297	221	521
298	221	520
299	222	519
300	223	518
301	224	518
302	224	517
303	225	516
304	226	515
305	227	515
306	227	514
307	228	513
308	229	512
309	230	512
310	230	511
311	231	510
312	232	509
313	232	508
314	233	507
315	233	506
316	234	505
317	235	504
318	236	504
319	237	503
320	237	502
321	238	501
322	238	500
323	239	499
324	240	498
325	240	497
326	241	496
327	242	495
328	242	494
329	243	494
330	243	493
331	244	492
332	245	491
333	245	490
334	246	489
335	247	488
336	248	488
337	249	487
338	249	486
339	250	486
340	251	485
341	251	484
342	252	483
343	252	482
344	253	481
345	254	480
346	254	479
347	255	478
348	256	477
349	256	476
350	257	475
351	258	475
352	258	474
353	259	474
354	260	473
355	261	472
356	261	471
357	262	470
358	263	469
359	263	468
360	264	468
361	265	467
362	265	466
363	266	465
364	266	464
365	267	463
366	268	462
367	268	461
368	269	460
369	270	460
370	271	459
371	271	459
372	272	458
373	273	457
374	273	456
375	274	455
376	275	454
377	275	453
378	276	452
379	277	451
380	277	451
381	278	450
382	278	449
383	279	448
384	280	447
385	280	446
386	281	445
387	282	445
388	283	444
389	284	444
390	284	443
391	285	442
392	285	441
393	286	440
394	287	439
395	287	439
396	288	438
397	289	437
398	289	436
399	290	435
400	291	434
401	291	433
402	292	433
403	292	432
404	293	431
405	294	430
406	297	432
407	297	432
408	298	431
409	299	431
410	300	430
411	300	429
412	301	428
413	302	428
414	303	427
415	303	426
416	304	425
417	304	424
418	305	423
419	307	424
420	307	423
421	308	423
422	309	422
423	310	421
424	310	420
425	311	420
426	312	419
427	313	418
428	313	417
429	314	416
430	315	416
431	315	415
432	316	414
433	317	413
434	318	413
435	318	412
436	319	411
437	320	410
438	320	410
439	321	409
440	322	408
441	323	407
442	324	407
443	324	406
444	325	406
445	326	405
446	326	404
447	327	403
448	328	402
449	329	402
450	330	401
451	330	401
452	331	400
453	332	399
454	332	398
455	333	397
456	334	397
457	334	396
458	335	395
459	336	394
460	336	393
461	337	392
462	337	391
463	338	391
464	339	390
465	339	389
466	340	389
467	341	388
468	342	387
469	343	387
470	343	386
471	344	385
472	345	384
473	345	383
474	346	382
475	347	382
476	347	381
477	348	380
478	348	379
479	349	378
480	350	377
481	350	377
482	351	376
483	352	375
484	352	374
485	353	374
486	354	373
487	355	372
488	355	371
489	356	370
490	357	370
491	357	369
492	358	368
493	358	367
494	359	366
495	360	365
496	360	365
497	361	364
498	362	363
499	362	362
500	363	361
501	363	360
502	364	360
503	365	359
504	366	358
505	366	358
506	367	357
507	368	356
508	368	355
509	369	354
510	369	353
511	370	353
512	371	352
513	371	351
